Date,O,H,L,C,V
20070103,40.18999863,40.22999954,38.11000061,38.43000031,950300
20070104,38.09999847,38.24000168,37.52999878,37.72000122,680300
20070105,36.88999939,37.34000015,36.65000153,37.20999908,1869400
20070108,37.29999924,37.43999863,36.77000046,37.29999924,946000
20070109,36.75,37.20000076,36.25,37.04999924,742800
20070110,36.27000046,36.79999924,36.18999863,36.61000061,622700
20070111,36.77000046,37.45999908,36.68999863,36.93000031,1044200
20070112,37.04999924,37.95999908,36.95000076,37.90000153,695700
20070116,37.97000122,38,37.25,37.52000046,472200
20070117,37.52000046,38.02000046,37.36000061,37.70000076,703000
20070118,37.95999908,38.24000168,36.84999847,36.97000122,729900
20070119,37.20000076,37.70000076,36.99000168,37.52999878,484200
20070122,37.58000183,37.88999939,37.00999832,37.27000046,534600
20070123,38.20000076,39.09999847,38.06000137,39.09999847,1457200
20070124,38.81999969,39.56000137,38.34000015,39.56000137,704800
20070125,39.81000137,40.09999847,38.86999893,39.11000061,1179800
20070126,39.09999847,39.24000168,38.5,39.20000076,445200
20070129,38.81999969,39.29000092,38.36999893,38.54999924,1024700
20070130,38.79999924,39.06999969,38.54999924,38.97000122,530200
20070131,38.97000122,39.77999878,38.95999908,39.59999847,643000
20070201,40.13999939,40.41999817,39.83000183,39.84999847,700600
20070202,39.33000183,39.5,38.95000076,39.31999969,640800
20070205,39.59999847,39.63000107,39.25,39.47999954,206400
20070206,39.90999985,40.02000046,39.41999817,39.72999954,260900
20070207,39.54999924,39.90000153,39.13000107,39.31000137,391800
20070208,39.29999924,40.25999832,39.06999969,40.25999832,920300
20070209,40.41999817,40.81000137,39.91999817,40.11000061,917900
20070212,39.93999863,40.31999969,39.40999985,39.61000061,434100
20070213,40.22999954,40.36999893,40.02000046,40.22999954,363300
20070214,40.59999847,40.95999908,40.34000015,40.88999939,473100
20070215,40.90000153,41.20000076,40.65999985,41.20000076,446300
20070216,40.79999924,41.02999878,40.70999908,40.93999863,368100
20070220,40.31999969,40.38000107,39.84999847,40.08000183,853400
20070221,40.31999969,41.81000137,40.15000153,41.56999969,1071000
20070222,42,42.22999954,41.56000137,41.79999924,660800
20070223,42.40000153,43.31999969,41.75999832,41.83000183,1077200
20070226,42.31999969,42.49000168,41.90000153,42.34999847,589100
20070227,41.25,41.45999908,38.72999954,39.34999847,1639400
20070228,39.40000153,40.11999893,38.83000183,39.90000153,1259900
20070301,38.77999878,39.79999924,38.65999985,39.15000153,614300
20070302,38.5,39.02999878,37.65999985,37.68000031,1297100
20070305,37,37.84000015,36.25,36.91999817,877900
20070306,37.59000015,38.22000122,37.59000015,38.08000183,965900
20070307,38.09999847,38.72000122,37.99000168,38.09000015,1060000
20070308,38.65000153,38.79000092,38.08000183,38.34999847,630400
20070309,38.70000076,38.70000076,37.97000122,38.02999878,576800
20070312,38.02000046,38.72999954,37.93000031,38.65000153,780000
20070313,38.43999863,38.75,37.06000137,37.15000153,1068600
20070314,37.00999832,37.47999954,36.45999908,37.36000061,1172600
20070315,37.68000031,38.43999863,37.68000031,38.24000168,1055100
20070316,38.65000153,39.02999878,38.15000153,38.36000061,1329200
20070319,38.66999817,39.02999878,38.59999847,38.84999847,651500
20070320,39.45000076,39.47000122,39.04999924,39.22000122,671400
20070321,39.47999954,40.11000061,39.06000137,40.11000061,399500
